,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster
0,0.0171,0.44,329160.0,0.528,0.00203,0.0,0.234,-7.809,1.0,0.0317,185.972,4.0,0.132,7
1,0.578,0.604,224695.0,0.366,0.0,5.0,0.133,-7.519,1.0,0.0282,141.981,4.0,0.13,6
2,0.0383,0.591,141806.0,0.764,0.0,1.0,0.103,-5.484,1.0,0.0483,169.928,4.0,0.478,7
3,0.0203,0.736,212000.0,0.704,0.0,3.0,0.0501,-7.409,0.0,0.0615,149.995,4.0,0.894,8
4,0.0558,0.627,197443.0,0.618,0.0,2.0,0.351,-8.529,1.0,0.0437,82.03,4.0,0.848,1
5,0.0451,0.807,230747.0,0.893,2.79e-05,11.0,0.366,-3.745,0.0,0.0347,126.011,4.0,0.537,2
6,0.281,0.788,207853.0,0.859,0.0,2.0,0.0424,-2.724,1.0,0.0856,141.02,4.0,0.822,1
7,0.44,0.761,238805.0,0.525,6.7e-06,11.0,0.0921,-6.9,1.0,0.0944,80.87,4.0,0.531,4
8,0.304,0.664,210560.0,0.609,0.0,1.0,0.0926,-6.509,1.0,0.0707,130.041,4.0,0.194,1
9,0.114,0.649,161853.0,0.76,0.0,1.0,0.317,-6.487,1.0,0.0574,80.018,4.0,0.843,1
10,0.034,0.796,202735.0,0.798,4.19e-05,1.0,0.0952,-6.312,1.0,0.0317,116.032,4.0,0.942,1
11,0.000619,0.803,257605.0,0.597,4.5e-06,11.0,0.323,-6.035,0.0,0.141,136.008,4.0,0.331,2
12,0.335,0.563,178147.0,0.664,0.0,9.0,0.0849,-5.044,1.0,0.154,166.928,4.0,0.688,4
13,0.0164,0.828,186173.0,0.621,0.00233,8.0,0.0845,-6.414,1.0,0.0565,128.986,4.0,0.436,4
14,0.0266,0.849,248040.0,0.707,8.58e-06,0.0,0.618,-6.002,1.0,0.113,104.027,4.0,0.602,10
15,0.127,0.714,211560.0,0.8,0.0,11.0,0.359,-4.808,0.0,0.0504,134.002,4.0,0.589,2
16,0.0561,0.695,203808.0,0.884,0.0,6.0,0.213,-2.278,0.0,0.0753,103.014,4.0,0.914,2
17,0.000328,0.594,295413.0,0.713,0.0,9.0,0.114,-5.314,1.0,0.0503,129.958,4.0,0.328,4
18,0.0361,0.687,193507.0,0.781,0.0,1.0,0.0755,-4.806,1.0,0.053,97.014,4.0,0.688,1
19,0.019,0.74,231011.0,0.501,0.0,1.0,0.114,-6.339,1.0,0.0592,83.5,4.0,0.119,1
20,0.235,0.762,208867.0,0.701,0.000158,8.0,0.123,-3.541,1.0,0.0286,110.968,4.0,0.742,4
21,0.167,0.391,285107.0,0.715,0.0,0.0,0.183,-4.516,1.0,0.0495,149.654,3.0,0.473,7
22,0.182,0.586,242096.0,0.616,0.0,5.0,0.0927,-7.964,1.0,0.0324,148.088,4.0,0.719,4
23,0.176,0.456,212030.0,0.679,0.0,1.0,0.103,-4.802,1.0,0.0324,184.075,4.0,0.483,7
24,0.00108,0.516,223093.0,0.777,1.62e-06,1.0,0.0761,-4.908,0.0,0.0375,125.047,4.0,0.408,8
25,0.0212,0.68,215627.0,0.826,1.24e-05,0.0,0.543,-5.487,1.0,0.0309,118.051,4.0,0.644,1
26,0.0635,0.849,242966.0,0.424,0.0,5.0,0.0834,-9.579,0.0,0.324,145.887,4.0,0.153,11
27,0.0153,0.773,162680.0,0.47,0.000193,2.0,0.0851,-7.93,1.0,0.0299,94.995,4.0,0.399,1
28,0.0018,0.717,160657.0,0.671,2.54e-06,0.0,0.0921,-5.077,0.0,0.0337,110.054,4.0,0.699,8
29,0.137,0.403,170560.0,0.711,0.0,8.0,0.109,-4.189,1.0,0.0569,203.803,4.0,0.801,7
30,0.181,0.767,221980.0,0.438,0.0,7.0,0.142,-8.726,0.0,0.29,86.975,4.0,0.381,11
31,0.0527,0.598,186107.0,0.846,0.0,6.0,0.113,-4.956,1.0,0.0355,144.04,4.0,0.328,7
32,0.185,0.601,153190.0,0.741,2.91e-05,2.0,0.415,-5.569,1.0,0.0478,153.96,4.0,0.441,1
33,0.365,0.727,145800.0,0.739,0.00137,8.0,0.161,-3.805,1.0,0.0411,93.005,4.0,0.533,4
34,0.723,0.596,207974.0,0.679,0.0,4.0,0.116,-6.395,1.0,0.0394,131.912,4.0,0.479,1
35,0.164,0.336,241107.0,0.627,0.0,7.0,0.0708,-7.463,1.0,0.0384,150.273,4.0,0.35,7
36,0.00813,0.588,228000.0,0.701,0.0,9.0,0.2,-6.39,1.0,0.0402,104.988,4.0,0.443,4
37,0.639,0.586,167480.0,0.559,0.0,4.0,0.0872,-6.725,1.0,0.05,177.945,4.0,0.437,7
38,0.00614,0.737,143901.0,0.846,0.0,1.0,0.0486,-4.51,0.0,0.22,87.981,4.0,0.546,8
39,0.767,0.332,298899.0,0.225,0.00349,0.0,0.128,-8.697,1.0,0.0348,81.055,3.0,0.297,0
40,0.00776,0.762,287120.0,0.766,6.98e-05,7.0,0.128,-3.955,1.0,0.0343,130.001,4.0,0.442,4
41,0.268,0.602,213493.0,0.477,3.1e-05,9.0,0.173,-8.425,1.0,0.032,183.89,4.0,0.552,7
42,0.817,0.606,258813.0,0.377,0.0,0.0,0.154,-9.455,1.0,0.0275,101.96,4.0,0.446,6
43,0.0045,0.739,279853.0,0.74,0.0,5.0,0.161,-5.86,0.0,0.333,75.575,4.0,0.488,11
44,0.00188,0.622,225960.0,0.791,3.72e-06,7.0,0.083,-6.106,1.0,0.0535,115.915,4.0,0.494,4
45,0.0129,0.584,219760.0,0.557,0.0,6.0,0.0576,-6.371,1.0,0.0342,154.008,4.0,0.767,4
46,0.817,0.61,240227.0,0.488,0.0,3.0,0.312,-6.918,1.0,0.0293,125.039,4.0,0.443,6
47,0.293,0.593,137704.0,0.503,0.0,8.0,0.405,-6.725,0.0,0.22,178.781,4.0,0.71,2
48,0.0124,0.882,106000.0,0.662,0.0,0.0,0.106,-6.382,1.0,0.242,120.034,4.0,0.57,1
49,0.0506,0.509,190452.0,0.842,0.0,6.0,0.0856,-5.394,1.0,0.0512,171.901,4.0,0.664,7
50,0.214,0.473,297013.0,0.579,0.0,4.0,0.0877,-5.824,1.0,0.0384,73.942,4.0,0.255,1
51,0.000443,0.642,230960.0,0.695,1.02e-05,7.0,0.0753,-5.62,1.0,0.0281,103.984,4.0,0.642,4
52,0.18,0.593,254181.0,0.552,1.71e-05,1.0,0.11,-5.838,1.0,0.028,115.0,4.0,0.39,1
53,0.0344,0.645,242720.0,0.593,0.000127,2.0,0.13,-6.506,1.0,0.0288,109.984,4.0,0.299,1
54,0.0317,0.567,193147.0,0.686,1.86e-06,7.0,0.0732,-6.139,1.0,0.175,172.014,4.0,0.716,7
55,0.17,0.707,231498.0,0.618,0.0,1.0,0.293,-5.825,0.0,0.19,133.876,4.0,0.517,8
56,0.0249,0.74,209476.0,0.576,0.0,6.0,0.104,-6.744,0.0,0.146,110.095,4.0,0.315,8
57,0.297,0.903,148779.0,0.535,0.0,9.0,0.345,-6.434,1.0,0.0742,130.022,4.0,0.508,4
58,0.0167,0.511,244587.0,0.559,0.0,4.0,0.113,-6.587,1.0,0.0264,145.88,4.0,0.248,7
59,0.336,0.571,161684.0,0.767,0.0,2.0,0.0809,-5.16,1.0,0.287,93.421,4.0,0.605,1
60,0.00115,0.678,200280.0,0.733,0.0,7.0,0.104,-5.025,1.0,0.0281,121.009,4.0,0.581,4
61,0.00575,0.711,252070.0,0.611,0.0,1.0,0.231,-5.453,1.0,0.329,134.14,4.0,0.144,11
62,0.271,0.498,245427.0,0.61,0.0,6.0,0.223,-5.098,1.0,0.0363,79.918,4.0,0.474,4
63,0.59,0.403,202133.0,0.537,0.0,3.0,0.112,-6.628,1.0,0.031,69.877,4.0,0.414,6
64,0.386,0.666,105377.0,0.643,0.0,8.0,0.283,-7.01,1.0,0.423,96.375,4.0,0.756,11
65,0.0399,0.502,299080.0,0.534,0.0,2.0,0.0977,-5.954,1.0,0.0278,94.05,4.0,0.155,1
66,0.0848,0.693,205787.0,0.681,0.0,0.0,0.0768,-7.039,1.0,0.025,100.02,4.0,0.663,1
67,0.0297,0.651,249444.0,0.703,0.0,0.0,0.0608,-8.958,0.0,0.0816,140.051,4.0,0.647,8
68,0.0538,0.584,224240.0,0.743,2.83e-06,4.0,0.121,-7.075,1.0,0.0931,167.844,4.0,0.746,7
69,0.00383,0.681,161053.0,0.63,0.0,1.0,0.139,-5.585,1.0,0.0385,151.951,4.0,0.183,1
70,0.00207,0.839,149610.0,0.506,0.0,5.0,0.13,-6.714,0.0,0.133,154.12,4.0,0.44,8
71,0.00279,0.471,213719.0,0.846,2.86e-06,0.0,0.145,-5.269,1.0,0.0389,100.089,4.0,0.539,1
72,0.0363,0.482,284870.0,0.548,2.28e-06,11.0,0.3,-9.946,1.0,0.0373,76.017,4.0,0.346,4
