,song,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,all too well (taylor's version),taylor swift,0.0171,https://api.spotify.com/v1/audio-analysis/3nsfB1vus2qaloUdcBZvDu,0.44,329160.0,0.528,3nsfB1vus2qaloUdcBZvDu,0.00203,0.0,0.234,-7.809,1.0,0.0317,185.972,4.0,https://api.spotify.com/v1/tracks/3nsfB1vus2qaloUdcBZvDu,audio_features,spotify:track:3nsfB1vus2qaloUdcBZvDu,0.132
1,easy on me,adele,0.578,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,0.604,224695.0,0.366,0gplL1WMoJ6iYaPgMCL0gX,0.0,5.0,0.133,-7.519,1.0,0.0282,141.981,4.0,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,audio_features,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,0.13
2,stay (with justin bieber),the kid laroi,0.0383,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,0.591,141806.0,0.764,5HCyWlXZPP0y6Gqq8TgA20,0.0,1.0,0.103,-5.484,1.0,0.0483,169.928,4.0,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,audio_features,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,0.478
3,industry baby (feat. jack harlow),lil nas x,0.0203,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,0.736,212000.0,0.704,27NovPIUIRrOZoCHxABJwK,0.0,3.0,0.0501,-7.409,0.0,0.0615,149.995,4.0,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,audio_features,spotify:track:27NovPIUIRrOZoCHxABJwK,0.894
4,smokin out the window,bruno mars,0.0558,https://api.spotify.com/v1/audio-analysis/4iN16F8JtVxG2UTzp3avGl,0.627,197443.0,0.618,4iN16F8JtVxG2UTzp3avGl,0.0,2.0,0.351,-8.529,1.0,0.0437,82.03,4.0,https://api.spotify.com/v1/tracks/4iN16F8JtVxG2UTzp3avGl,audio_features,spotify:track:4iN16F8JtVxG2UTzp3avGl,0.848
5,bad habits,ed sheeran,0.0451,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,0.807,230747.0,0.893,3rmo8F54jFF8OgYsqTxm5d,2.79E-05,11.0,0.366,-3.745,0.0,0.0347,126.011,4.0,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,audio_features,spotify:track:3rmo8F54jFF8OgYsqTxm5d,0.537
6,shivers,ed sheeran,0.281,https://api.spotify.com/v1/audio-analysis/75MNhvTCCKsST3YqqUiU9r,0.788,207853.0,0.859,75MNhvTCCKsST3YqqUiU9r,0.0,2.0,0.0424,-2.724,1.0,0.0856,141.02,4.0,https://api.spotify.com/v1/tracks/75MNhvTCCKsST3YqqUiU9r,audio_features,spotify:track:75MNhvTCCKsST3YqqUiU9r,0.822
7,heat waves,glass animals,0.44,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,0.761,238805.0,0.525,02MWAaffLxlfxAUY7c5dvx,6.7E-06,11.0,0.0921,-6.9,1.0,0.0944,80.87,4.0,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,audio_features,spotify:track:02MWAaffLxlfxAUY7c5dvx,0.531
8,need to know,doja cat,0.304,https://api.spotify.com/v1/audio-analysis/3Vi5XqYrmQgOYBajMWSvCi,0.664,210560.0,0.609,3Vi5XqYrmQgOYBajMWSvCi,0.0,1.0,0.0926,-6.509,1.0,0.0707,130.041,4.0,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,audio_features,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,0.194
9,fancy like,walker hayes,0.114,https://api.spotify.com/v1/audio-analysis/3ZozFqJJlDBNIm4xqxn2ZD,0.649,161853.0,0.76,3ZozFqJJlDBNIm4xqxn2ZD,0.0,1.0,0.317,-6.487,1.0,0.0574,80.018,4.0,https://api.spotify.com/v1/tracks/3ZozFqJJlDBNIm4xqxn2ZD,audio_features,spotify:track:3ZozFqJJlDBNIm4xqxn2ZD,0.843
10,cold heart - pnau remix,elton john,0.034,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,0.796,202735.0,0.798,6zSpb8dQRaw0M1dK8PBwQz,4.19E-05,1.0,0.0952,-6.312,1.0,0.0317,116.032,4.0,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,audio_features,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,0.942
11,way 2 sexy (with future & young thug),drake,0.000619,https://api.spotify.com/v1/audio-analysis/0k1WUmIRnG3xU6fvvDVfRG,0.803,257605.0,0.597,0k1WUmIRnG3xU6fvvDVfRG,4.5E-06,11.0,0.323,-6.035,0.0,0.141,136.008,4.0,https://api.spotify.com/v1/tracks/0k1WUmIRnG3xU6fvvDVfRG,audio_features,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,0.331
12,good 4 u,olivia rodrigo,0.335,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,0.563,178147.0,0.664,4ZtFanR9U6ndgddUvNcjcG,0.0,9.0,0.0849,-5.044,1.0,0.154,166.928,4.0,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.688
